type	chrom	TSS_start	start_position	end_position	ensembl_gene_id	external_gene_name	dev_geno	test_dev_geno	CAD_HARD_beta	CAD_HARD_se_beta	CAD_HARD_z_t	CAD_HARD_pval	CAD_HARD_qval	CAD_HARD_BHcorr	tissue	CAD_HARD_BHcorr_overall	loci_tissue_specific	loci	loci_complete	best_GWAS_signBH	best_GWAS_sign	best_GWAS_pval	CardioGram_beta	CardioGram_se_beta	CardioGram_z	CardioGram_pval	CardioGram_pval_BHcorr	CardioGram_Cochran_stat	CardioGram_Cochran_pval	CardioGram_model	replicated
not_heritable	chr6	32153658	32152516	32153659	ENSG00000273333	XXbac-BPG300A18.13	0.0818904973733689	0.0243153752009752	-0.000106684557561981	2.48945419431815e-05	-4.2854597528034	1.82361661753177e-05	0.0055457470515903	0.00610292673821523	Adipose_Subcutaneous	0.00593066175687296	chr6:31-32.9Mb	chr6:31-33Mb	chr6:31039906-33006556	TRUE	TRUE	2.77e-08	-0.020938721078916	0.0134920093840659	-1.55193496260422	0.120677786191662	0.678782195772217	7.90805336760324	0.442502991829308	fixed	TRUE
heritable	chr6	32636159	32627244	32636160	ENSG00000179344	HLA-DQB1	0.720874845622314	0.734468182553451	-9.28204091963158e-05	2.4939177094883e-05	-3.72187136901806	0.000197751759662498	0.0325181160764717	0.0357852022880446	Adipose_Subcutaneous	0.0292982014047258	chr6:31-32.9Mb	chr6:31-33Mb	chr6:31039906-33006556	TRUE	TRUE	2.77e-08	-0.00762652136445099	0.013528437525265	-0.563739999553391	0.572931091007578	0.926150501466729	9.65768825115274	0.289878187284323	fixed	TRUE
heritable	chr6	32627657	32627657	32628506	ENSG00000223534	HLA-DQB1-AS1	0.765234951776361	0.72239460172827	-8.97261805045361e-05	2.49206082417437e-05	-3.60048116138028	0.000317628842883761	0.0424666231786768	0.0467332331727134	Adipose_Subcutaneous	0.0385314732691883	chr6:31-32.9Mb	chr6:31-33Mb	chr6:31039906-33006556	TRUE	TRUE	2.77e-08	0.000829758667510847	0.0134725778504126	0.0615887083172752	0.950890369329384	0.993455419979468	8.62682236843677	0.374747500518327	fixed	FALSE
heritable	chr6	32709119	32709119	32714992	ENSG00000237541	HLA-DQA2	0.616748777387331	0.55905482237742	0.000106089425068277	2.4778064771079e-05	4.28158639701776	1.85565649346555e-05	0.0055457470515903	0.00610292673821523	Adipose_Subcutaneous	0.00598145416973356	chr6:31-32.9Mb	chr6:31-33Mb	chr6:31039906-33006556	TRUE	TRUE	2.77e-08	-0.00458887883310814	0.0135388938160396	-0.338940455214418	0.734654587491375	0.966180859143642	5.31992512048357	0.722898558122252	fixed	FALSE
heritable	chr6	39197225	39156749	39197226	ENSG00000164626	KCNK5	0.131378713544447	0.0447831705627917	-9.93550178860604e-05	2.48555886867464e-05	-3.99729087643935	6.40715511456149e-05	0.0155009150485948	0.0170582877359587	Adipose_Subcutaneous	0.0153535669666308	chr6:39-39.4Mb	chr6:39-39.4Mb	chr6:38997225-39397225	TRUE	FALSE	1.08e-07	-0.0442901313146139	0.0135468678827318	-3.26940010768618	0.00107775784221245	0.158265512789126	10.3722589558552	0.239863929147098	fixed	TRUE
heritable	chr6	134210276	134210276	134216691	ENSG00000118526	TCF21	0.0204671026621579	0.0052654755971355	-0.00014555613651254	2.49167556576688e-05	-5.84169698946103	5.16717294848513e-09	5.25042411853106e-06	5.77793279099607e-06	Adipose_Subcutaneous	6.73432896759543e-06	chr6:134-134.4Mb	chr6:134-134.4Mb	chr6:134010276-134410276	TRUE	TRUE	6.02e-14	-0.0750157675359367	0.0137190960796922	-5.46798178977545	4.55188633187785e-08	0.000127247982407645	11.9324925895432	0.154241409155546	fixed	TRUE
heritable	chr6	160542821	160542821	160579750	ENSG00000175003	SLC22A1	0.187110051036994	0.104020138320646	-0.000125488111779231	2.46914581935805e-05	-5.0822479091922	3.7299415666272e-07	0.000270716907863411	0.000297915761414467	Adipose_Subcutaneous	0.000308771344597339	chr6:160.3-160.7Mb	chr6:160.2-161.9Mb	chr6:160190131-161895092	TRUE	TRUE	1.71e-49	-0.0227883596891642	0.0133689126473693	-1.70457839693106	0.0882730832471016	0.638290305402336	7.01379990359429	0.535144495027635	fixed	TRUE
not_heritable	chr8	19759228	19759228	19824769	ENSG00000175445	LPL	0.0291683263084969	0.00218712725538416	-0.000122477197732515	2.48856822985166e-05	-4.92159291689645	8.58426289485436e-07	0.000436128434177611	0.000479946138451307	Adipose_Subcutaneous	0.000558344985146742	chr8:19.6-20Mb	chr8:19.6-20Mb	chr8:19559228-19959228	TRUE	FALSE	6.44e-08	-0.0499307393444938	0.0135045888899192	-3.69731650119063	0.000217890614429136	0.0716603779572528	5.87874220432638	0.660812494866026	fixed	TRUE
heritable	chr9	21802542	21802542	21931646	ENSG00000099810	MTAP	0.0547840633796764	0.0285181886301799	9.06283044973931e-05	2.49902208799143e-05	3.62655075891046	0.00028723237773143	0.0405361301124549	0.0446087839971229	Adipose_Subcutaneous	0.0363269171058667	chr9:21.6-22Mb	chr9:21.6-22.2Mb	chr9:21602542-22209361	TRUE	TRUE	1.28e-101	0.0128728859321107	0.0134850946093295	0.954601084014994	0.339779468777631	0.838791800203475	9.27146359953594	0.319915817238564	fixed	TRUE
not_heritable	chr10	91174313	90973326	91174314	ENSG00000107798	LIPA	0.0241679631848337	0.00141509259632296	9.67885701234499e-05	2.4658553956391e-05	3.92515190852723	8.66750232911426e-05	0.0181019049105224	0.0199205983365896	Adipose_Subcutaneous	0.0185708885197446	chr10:91-91.4Mb	chr10:91-91.4Mb	chr10:90974313-91374313	TRUE	TRUE	3.51e-16	0.0661965876144754	0.0133973569276481	4.94101843908226	7.7715557559839e-07	0.00144835894105687	6.79252145134331	0.559174704183484	fixed	TRUE
heritable	chr11	118936387	118935974	118936388	ENSG00000271751	RP11-110I1.14	0.0780156977959417	0.0316159686758923	-0.000122098223032405	2.46561945211035e-05	-4.95203032762823	7.34431546489948e-07	0.00041459132096932	0.000456245197380589	Adipose_Subcutaneous	0.000511455755565158	chr11:118.7-119.2Mb	chr11:118.7-119.4Mb	chr11:118736387-119408018	FALSE	FALSE	0.000463	0.00080033977064478	0.0134792551917612	0.0593756672203937	0.952652893603364	0.993455419979468	3.58585335146451	0.892425395869133	fixed	FALSE
heritable	chr11	118955576	118955576	118964259	ENSG00000256269	HMBS	0.057228130587503	0.0314035764629109	0.000110491428665559	2.46936819836849e-05	4.47448172121761	7.65968785312894e-06	0.00292015775232732	0.00321354520152058	Adipose_Subcutaneous	0.00320685598117665	chr11:118.7-119.2Mb	chr11:118.7-119.4Mb	chr11:118736387-119408018	FALSE	FALSE	0.000463	-0.00610340353184016	0.0135324454970514	-0.451019997321993	0.651975136395697	0.949956864275707	4.22182757640192	0.836575213517398	fixed	FALSE
not_heritable	chr12	57828543	57828543	57844611	ENSG00000175189	INHBC	0.0269506566273847	0.00175430096585509	0.000126077348602606	2.50870915500849e-05	5.02558649937161	5.01896278136047e-07	0.000318739128484541	0.00035076276138233	Adipose_Subcutaneous	0.000365621400696547	chr12:57.6-58Mb	chr12:57.6-58.2Mb	chr12:57628543-58227137	TRUE	FALSE	3.39e-06	0.00426313247416771	0.013617521899002	0.313062281506603	0.754233344709884	0.968698965812296	3.23800247755374	0.918545903265392	fixed	TRUE
heritable	chr12	89919800	89813495	89919801	ENSG00000139323	POC1B	0.0284600341930611	0.0147515619081004	-9.48211906288315e-05	2.4498013555554e-05	-3.87056650180253	0.000108582730293756	0.0212177243233403	0.023349463272015	Adipose_Subcutaneous	0.0204909467423625	chr12:89.7-90.1Mb	chr12:89.7-90.2Mb	chr12:89719800-90154906	TRUE	TRUE	7.63e-11	-0.0162256582408005	0.0134286748791094	-1.20828439044587	0.226937890559699	0.781389527874461	14.707702111052	0.0650844848098422	fixed	TRUE
not_heritable	chr12	112279210	112277571	112279211	ENSG00000248594	AC003029.1	0.0499537940450606	0.0162248235423087	-0.000110558775699599	2.52690155263829e-05	-4.37527040118231	1.21282040115244e-05	0.0041078693959877	0.00452058590856219	Adipose_Subcutaneous	0.00454627081690514	chr12:112.1-113Mb	chr12:111.2-113Mb	chr12:111174389-113019895	TRUE	TRUE	9.22e-14	-0.0470429103495205	0.0136149012122685	-3.45525168461227	0.000549779351497926	0.122932211736356	4.90538340969823	0.767639391062858	fixed	TRUE
heritable	chr12	112335140	112335140	112335710	ENSG00000270018	RP3-462E2.5	0.115899697643313	0.0123814569259575	0.000106779326978692	2.54314989504589e-05	4.19870363074942	2.68447387502918e-05	0.00717822345407	0.00789941759752008	Adipose_Subcutaneous	0.00801469478885762	chr12:112.1-113Mb	chr12:111.2-113Mb	chr12:111174389-113019895	TRUE	TRUE	9.22e-14	0.023018259565363	0.0136405307081185	1.68749002937717	0.091509165525586	0.644484715527484	5.32588691601805	0.72224437728539	fixed	TRUE
heritable	chr12	112450969	112369086	112450970	ENSG00000198270	TMEM116	0.0465006559508915	0.0229433876478981	-0.000115784977655344	2.55989394239983e-05	-4.52303807347578	6.09582696192799e-06	0.00258085007849746	0.00284014737867828	Adipose_Subcutaneous	0.00268467749436321	chr12:112.1-113Mb	chr12:111.2-113Mb	chr12:111174389-113019895	TRUE	TRUE	9.22e-14	-0.0343041182594305	0.0136578886795072	-2.51167065894318	0.0120161170514509	0.389964940566948	5.97524582641717	0.650004850031872	fixed	TRUE
heritable	chr12	112819895	112597992	112819896	ENSG00000173064	HECTD4	0.045339336395614	0.0172447796616596	0.000133123839890352	2.51680951645437e-05	5.28938876859837	1.2272578828672e-07	0.000103919242561067	0.000114359980385175	Adipose_Subcutaneous	0.000114619592629628	chr12:112.1-113Mb	chr12:111.2-113Mb	chr12:111174389-113019895	TRUE	TRUE	9.22e-14	0.0416321219337534	0.0135072603730828	3.08220325838375	0.00205474481510751	0.196368990887192	7.54507248263316	0.479119730101074	fixed	TRUE
heritable	chr15	85958459	85958459	85958864	ENSG00000259630	CTD-2262B20.1	0.0946813950923258	0.0405388519388993	9.11568160073757e-05	2.48940437610563e-05	3.66179222959266	0.000250456951092678	0.0390742916711967	0.0430000750482451	Adipose_Subcutaneous	0.0336628929394823	chr15:85.8-86.2Mb	chr15:85.8-86.2Mb	chr15:85758459-86158459	FALSE	FALSE	0.000368	0.0357849532279746	0.0134866766852232	2.65335590547542	0.00796957897172882	0.332803283813036	4.9751476253177	0.76022906161468	fixed	TRUE
not_heritable	chr16	57281262	57281262	57282404	ENSG00000260038	RP11-407G23.4	0.0494536719358937	0.0109202466140901	-0.000105343396913292	2.47411760670082e-05	-4.25781687289169	2.06432938785979e-05	0.00582663593304874	0.0064120364486245	Adipose_Subcutaneous	0.00642659261738505	chr16:57.1-57.5Mb	chr16:57.1-57.5Mb	chr16:57081262-57481262	FALSE	FALSE	0.001055	-0.0349556402714014	0.013488297311603	-2.59155321564062	0.00955437635687318	0.358513545042134	10.6607594451263	0.221671622769851	fixed	TRUE
heritable	chr17	46894575	46839597	46894576	ENSG00000170703	TTLL6	0.0517249909790254	0.0237036871417054	-0.000110901607136541	2.48439112747472e-05	-4.46393508292989	8.04679535347669e-06	0.00292015775232732	0.00321354520152058	Adipose_Subcutaneous	0.00329321880848354	chr17:46.7-47.1Mb	chr17:45.6-48.7Mb	chr17:45571447-48703519	TRUE	FALSE	7.83e-07	-0.052083496366355	0.0134447164412982	-3.87390069502469	0.000107107071358464	0.0499029696637645	6.47887100800773	0.593752222162387	fixed	TRUE
heritable	chr18	57027193	56995055	57027194	ENSG00000074695	LMAN1	0.0153967317391946	0.00530919384979401	9.79588212617724e-05	2.4575984056169e-05	3.98595722709965	6.72086193838195e-05	0.0155207851083969	0.0170801541352243	Adipose_Subcutaneous	0.0155048407605771	chr18:56.8-57.2Mb	chr18:56.8-57.2Mb	chr18:56827193-57227193	FALSE	FALSE	0.003649	0.0223250554059175	0.0134981025831798	1.65394026814828	0.0981396497886234	0.647814382489012	7.02003284424797	0.534472824037529	fixed	TRUE
not_heritable	chr19	41931264	41931264	41932142	ENSG00000268475	CTC-435M10.6	0.0435206651659547	0.0207168293571586	9.69044727962672e-05	2.47295250129265e-05	3.91857396151417	8.90743978563299e-05	0.0181019049105224	0.0199205983365896	Adipose_Subcutaneous	0.0189733676463097	chr19:41.7-42.1Mb	chr19:41.5-42.1Mb	chr19:41527955-42131264	TRUE	FALSE	5.88e-08	0.0435198152124334	0.0135019155075236	3.22323267303689	0.00126752549121157	0.1668772720858	11.8047685556736	0.160129501371212	fixed	TRUE
not_heritable	chr20	45093762	45092541	45093763	ENSG00000225849	MKRN7P	0.381763590822157	0.285774816115755	-9.19783199116766e-05	2.51944744860049e-05	-3.65073381319262	0.000261492139445597	0.0390742916711967	0.0430000750482451	Adipose_Subcutaneous	0.0345093829245161	chr20:44.9-45.3Mb	chr20:44.9-45.3Mb	chr20:44887914-45342197	FALSE	FALSE	0.000667	0.0113247936077977	0.013344697222658	0.848636234965999	0.396083737775241	0.859667770924446	5.23639177097062	0.73203727835132	fixed	FALSE
heritable	chr22	24322659	24313554	24322660	ENSG00000099977	DDT	0.0484399494910683	0.0178110083298783	-9.16234740022669e-05	2.46231793709668e-05	-3.72102532422356	0.000198415537637164	0.0325181160764717	0.0357852022880446	Adipose_Subcutaneous	0.0292982014047258	chr22:24.1-24.6Mb	chr22:24.1-24.6Mb	chr22:24069087-24584679	TRUE	FALSE	6.24e-06	-0.0322230504076911	0.0133770797201801	-2.40882547474699	0.0160039490659782	0.390042676574614	12.4149172786737	0.13362915091307	fixed	TRUE
heritable	chr22	24373117	24373117	24374043	ENSG00000235231	AP000351.10	0.571434205122298	0.4707519515703	-9.54100850774828e-05	2.47252205372747e-05	-3.8588163423516	0.000113937517741836	0.0214394866407515	0.0235935059886891	Adipose_Subcutaneous	0.0209598997284274	chr22:24.1-24.6Mb	chr22:24.1-24.6Mb	chr22:24069087-24584679	TRUE	FALSE	6.24e-06	-0.0310698970308376	0.0134112431102278	-2.31670522825306	0.020519794581703	0.414173904354879	16.1447910054283	0.0403539755614681	fixed	TRUE
heritable	chr22	24375562	24375562	24376211	ENSG00000272955	KB-226F1.1	0.509026256393261	0.354818988475231	-9.36180090712167e-05	2.47118751926151e-05	-3.78838142963726	0.000151631929387303	0.0265646474030967	0.029233590248428	Adipose_Subcutaneous	0.0249911375384757	chr22:24.1-24.6Mb	chr22:24.1-24.6Mb	chr22:24069087-24584679	TRUE	FALSE	6.24e-06	-0.0302203565793502	0.0134083966418848	-2.2538382020225	0.0242063485503101	0.439408099820726	17.1311072416901	0.0287724589421225	fixed	TRUE
heritable	chr22	24384679	24376133	24384680	ENSG00000184674	GSTT1	0.547330375442662	0.471528629820968	-9.41145420540239e-05	2.47014273214017e-05	-3.81008517562391	0.000138918922815008	0.0252066289487488	0.0277391320520967	Adipose_Subcutaneous	0.0238040372660777	chr22:24.1-24.6Mb	chr22:24.1-24.6Mb	chr22:24069087-24584679	TRUE	FALSE	6.24e-06	-0.0311700939480763	0.0134132690181227	-2.32382530358276	0.0201348589849407	0.412610651581642	15.8186806726775	0.0450501083644417	fixed	TRUE
heritable	chr22	29951204	29901868	29951205	ENSG00000100296	THOC5	0.467940915707024	0.44921479572491	-9.00987884033721e-05	2.46638105559057e-05	-3.65307656735135	0.000259116923836081	0.0390742916711967	0.0430000750482451	Adipose_Subcutaneous	0.0344455285905307	chr22:29.8-30.2Mb	chr22:29.8-30.2Mb	chr22:29751204-30151204	TRUE	FALSE	8.85e-06	-0.0517283673391856	0.013309704726969	-3.88651502045498	0.000101693636972135	0.0499029696637645	8.63291257222603	0.374202469714181	fixed	TRUE
not_heritable	chr1	151763280	151763280	151766878	ENSG00000203288	RP11-98D18.9	0.0999891126164559	0.00782141389672857	0.00010037560839942	2.51424483783255e-05	3.99227660286063	6.5441974342322e-05	0.0157980401043775	0.0194253593839459	Adipose_Visceral_Omentum	0.0154216595701885	chr1:151.6-152Mb	chr1:150.6-152Mb	chr1:150580798-151963280	TRUE	TRUE	2.21e-08	0.0297482388038917	0.0137120507514586	2.16949596694916	0.0300450502206818	0.479912416529456	5.95513774366952	0.652257258281618	fixed	TRUE
heritable	chr1	222834853	222832209	222834854	ENSG00000272750	RP11-378J18.8	0.0567641022457558	0.0308584568477285	-0.000150361047236702	2.50657678357757e-05	-5.99866113106238	1.9895104308295e-09	1.92111352936339e-06	2.36221205153822e-06	Adipose_Visceral_Omentum	2.89863711730134e-06	chr1:222.6-223Mb	chr1:222.6-223.1Mb	chr1:222563167-223110549	TRUE	TRUE	8.45e-14	-0.0705299554993451	0.0136035241638537	-5.18468263442735	2.16383012899066e-07	0.000770756291946474	11.5946825520709	0.170224811503024	fixed	TRUE
heritable	chr1	234509202	234509202	234519795	ENSG00000168275	COA6	0.113092022165211	0.0921195221007746	0.000100784024095499	2.47782466045881e-05	4.06743970644142	4.75325016171443e-05	0.0137695179466504	0.0169310770760268	Adipose_Visceral_Omentum	0.0121924214007244	chr1:234.3-234.7Mb	chr1:234.3-234.9Mb	chr1:234309202-234867524	FALSE	FALSE	0.003907	0.00700271986961072	0.0134567188052032	0.520388362942014	0.602792919275906	0.924985372946628	5.62235780474568	0.68944933503483	fixed	TRUE
heritable	chr2	69664759	69622882	69664760	ENSG00000169599	NFU1	0.045008530223353	0.0147855763077197	0.000103188611633569	2.4788946141783e-05	4.16268650725896	3.14525051436803e-05	0.0113892026326365	0.0140042279152237	Adipose_Visceral_Omentum	0.00902067753821585	chr2:69.5-69.9Mb	chr2:69.5-69.9Mb	chr2:69464759-69864759	FALSE	FALSE	0.00107	0.0299985117648501	0.0134141042931469	2.23634102652503	0.0253294409666531	0.443607571836893	2.35729389548609	0.968053641557772	fixed	TRUE
heritable	chr2	85788669	85771846	85788670	ENSG00000115486	GGCX	0.0595389741680831	0.0223575319119017	0.000162103566374015	2.46857164584474e-05	6.56669481912254	5.14443282925679e-11	1.49027208242369e-07	1.83244697378127e-07	Adipose_Visceral_Omentum	9.36904106864247e-08	chr2:85.6-86Mb	chr2:85.5-86.1Mb	chr2:85469618-86112298	TRUE	TRUE	2.39e-13	0.0272009176130966	0.0134239305064157	2.02630053843742	0.0427339961249258	0.505709283046464	4.52348848294098	0.807078583282608	fixed	TRUE
heritable	chr6	31239906	31236526	31239907	ENSG00000204525	HLA-C	0.59517931708782	0.54094456262769	-9.6392420115605e-05	2.48825206448155e-05	-3.87390094000341	0.000107106963633481	0.0222399553675652	0.027346374793552	Adipose_Visceral_Omentum	0.0204909467423625	chr6:31-32.9Mb	chr6:31-33Mb	chr6:31039906-33006556	TRUE	TRUE	2.77e-08	-0.0123750806593235	0.0134606037917362	-0.919355539379357	0.357909636527207	0.853637154218831	13.2751048087285	0.102728152474741	fixed	TRUE
heritable	chr6	31324424	31324424	31325414	ENSG00000271581	XXbac-BPG248L24.12	0.903725098975858	0.791543980204863	-0.000109067193134472	2.49050362116482e-05	-4.37932280875226	1.19048674196607e-05	0.00574779642036158	0.00706752295813857	Adipose_Visceral_Omentum	0.00454627081690514	chr6:31-32.9Mb	chr6:31-33Mb	chr6:31039906-33006556	TRUE	TRUE	2.77e-08	-0.0377757619644389	0.0136482512722499	-2.76780967839051	0.00564344013606023	0.228076556388197	17.0440283721201	0.0296538672329372	fixed	TRUE
heritable	chr6	32636159	32627244	32636160	ENSG00000179344	HLA-DQB1	0.677290688284172	0.704739795996812	-9.349001690955e-05	2.49282222934181e-05	-3.75036839005702	0.00017657496427979	0.0284174226623959	0.0349422234869229	Adipose_Visceral_Omentum	0.027137411387878	chr6:31-32.9Mb	chr6:31-33Mb	chr6:31039906-33006556	TRUE	TRUE	2.77e-08	-0.00460173208996101	0.0135299151495019	-0.340115369469291	0.733769647847052	0.950057956263843	10.4915148855252	0.232207144784878	fixed	TRUE
heritable	chr6	32627657	32627657	32628506	ENSG00000223534	HLA-DQB1-AS1	0.612898909397797	0.610528564768317	-9.37490510240588e-05	2.49004715921577e-05	-3.76495082340468	0.000166581863643312	0.0284174226623959	0.0349422234869229	Adipose_Visceral_Omentum	0.026584750635089	chr6:31-32.9Mb	chr6:31-33Mb	chr6:31039906-33006556	TRUE	TRUE	2.77e-08	0.000312401978733869	0.0135218206522945	0.0231035440246619	0.98156767871901	0.997411163601082	8.29671243567113	0.405036173259681	fixed	FALSE
heritable	chr6	32709119	32709119	32714992	ENSG00000237541	HLA-DQA2	0.526408603199883	0.412682759343367	0.000102961213457825	2.46929342912823e-05	4.169662958775	3.05050431423922e-05	0.0113892026326365	0.0140042279152237	Adipose_Visceral_Omentum	0.00888892553134795	chr6:31-32.9Mb	chr6:31-33Mb	chr6:31039906-33006556	TRUE	TRUE	2.77e-08	-0.0069345346819275	0.0135786811897434	-0.510692797409919	0.609566184957132	0.92524396527498	3.81805355633966	0.873154775440714	fixed	FALSE
heritable	chr10	91174313	90973326	91174314	ENSG00000107798	LIPA	0.108971106627593	0.0114723296964276	0.000101087399881637	2.46497898728177e-05	4.10094367551222	4.1146871257359e-05	0.0132440976162711	0.0162850172687459	Adipose_Visceral_Omentum	0.0107052402762717	chr10:91-91.4Mb	chr10:91-91.4Mb	chr10:90974313-91374313	TRUE	TRUE	3.51e-16	0.0652315119143882	0.013371260360504	4.8784864070906	1.06903029824793e-06	0.00190394296117957	13.7670660761916	0.0880424500283205	fixed	TRUE
heritable	chr11	118938403	118938403	118952688	ENSG00000160695	VPS11	0.0162983395570859	0.00846477880667967	-9.46264627714618e-05	2.48390571035929e-05	-3.80958352713696	0.000139201074502376	0.0268831028362027	0.0330556151584977	Adipose_Visceral_Omentum	0.0238040372660777	chr11:118.7-119.2Mb	chr11:118.7-119.4Mb	chr11:118736387-119408018	FALSE	FALSE	0.000463	0.00476504942247022	0.0135230437068173	0.352365157266188	0.724564428912774	0.946585258246302	8.49569840742671	0.386604207839699	fixed	FALSE
